Postcode,Owned Outright,Owned Outright %,Owned with Mortgage,Owned with Mortgage %,Shared Ownership,Shared Ownership %,Rented From Council,Rented From Council %,Rented Other Social,Rented Other Social %,Rented Private Landlord,Rented Private Landlord %,Rented Other,Rented Other %,Rent Free,Rent Free %,Total,Council+Other Social (Count),Council+Other Social (%)
CF11 8AA,36,27.69,39,30.00,0,0.00,0,0.00,16,12.31,35,26.92,4,3.08,0,0.00,130,16,12.31
CF11 8AB,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8AD,7,16.67,12,28.57,0,0.00,9,21.43,4,9.52,6,14.29,4,9.52,0,0.00,42,13,30.95
CF11 8AE,18,17.31,29,27.88,0,0.00,26,25.00,7,6.73,18,17.31,5,4.81,1,0.96,104,33,31.73
CF11 8AF,59,44.03,41,30.60,0,0.00,9,6.72,0,0.00,19,14.18,6,4.48,0,0.00,134,9,6.72
CF11 8AG,36,27.69,39,30.00,0,0.00,0,0.00,16,12.31,35,26.92,4,3.08,0,0.00,130,16,12.31
CF11 8AH,7,16.67,12,28.57,0,0.00,9,21.43,4,9.52,6,14.29,4,9.52,0,0.00,42,13,30.95
CF11 8AJ,18,17.31,29,27.88,0,0.00,26,25.00,7,6.73,18,17.31,5,4.81,1,0.96,104,33,31.73
CF11 8AL,18,17.31,29,27.88,0,0.00,26,25.00,7,6.73,18,17.31,5,4.81,1,0.96,104,33,31.73
CF11 8AN,18,17.31,29,27.88,0,0.00,26,25.00,7,6.73,18,17.31,5,4.81,1,0.96,104,33,31.73
CF11 8AP,15,9.80,14,9.15,0,0.00,76,49.67,18,11.76,24,15.69,3,1.96,3,1.96,153,94,61.44
CF11 8AQ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8AR,54,42.86,57,45.24,0,0.00,1,0.79,3,2.38,6,4.76,5,3.97,0,0.00,126,4,3.17
CF11 8AS,54,42.86,57,45.24,0,0.00,1,0.79,3,2.38,6,4.76,5,3.97,0,0.00,126,4,3.17
CF11 8AT,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8AU,54,42.86,57,45.24,0,0.00,1,0.79,3,2.38,6,4.76,5,3.97,0,0.00,126,4,3.17
CF11 8AW,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8AX,34,28.33,40,33.33,0,0.00,0,0.00,13,10.83,31,25.83,2,1.67,0,0.00,120,13,10.83
CF11 8AY,36,27.69,39,30.00,0,0.00,0,0.00,16,12.31,35,26.92,4,3.08,0,0.00,130,16,12.31
CF11 8AZ,15,9.80,14,9.15,0,0.00,76,49.67,18,11.76,24,15.69,3,1.96,3,1.96,153,94,61.44
CF11 8BA,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8BB,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8BD,15,9.80,14,9.15,0,0.00,76,49.67,18,11.76,24,15.69,3,1.96,3,1.96,153,94,61.44
CF11 8BE,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8BF,42,28.19,69,46.31,0,0.00,0,0.00,25,16.78,8,5.37,5,3.36,0,0.00,149,25,16.78
