Postcode,Owned Outright,Owned Outright %,Owned with Mortgage,Owned with Mortgage %,Shared Ownership,Shared Ownership %,Rented From Council,Rented From Council %,Rented Other Social,Rented Other Social %,Rented Private Landlord,Rented Private Landlord %,Rented Other,Rented Other %,Rent Free,Rent Free %,Total,Council+Other Social (Count),Council+Other Social (%)
CF11 8UP,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8UQ,59,49.58,36,30.25,0,0.00,0,0.00,1,0.84,17,14.29,6,5.04,0,0.00,119,1,0.84
CF11 8UT,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8UU,11,7.43,48,32.43,0,0.00,0,0.00,3,2.03,81,54.73,4,2.70,1,0.68,148,3,2.03
CF11 8UW,59,49.58,36,30.25,0,0.00,0,0.00,1,0.84,17,14.29,6,5.04,0,0.00,119,1,0.84
CF11 8UY,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8WD,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8WF,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8WH,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8WQ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8WU,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8XA,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8XB,15,9.80,14,9.15,0,0.00,76,49.67,18,11.76,24,15.69,3,1.96,3,1.96,153,94,61.44
CF11 8XE,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8XH,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8XL,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8XN,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8XT,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8XZ,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8YA,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8YB,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8YD,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8YE,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8YF,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
CF11 8YG,40,23.81,54,32.14,2,1.19,1,0.60,39,23.21,31,18.45,1,0.60,0,0.00,168,40,23.81
